FLUXO ATUARIAL   -   CIVIL   -   PLANO PREVIDENCIÁRIO   -   BENEFÍCIOS AVALIADOS EM REGIME FINANCEIRO DE CAPITALIZAÇÃO   -   GERAÇÃO ATUAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INFORMAÇÕES PRELIMINARES;;;;;CONTRIBUIÇÕES FUTURAS DE APOSENTADOS  E PENSIONISTAS -  BENEFÍCIOS CONCEDIDOS;;;;;;;CONTRIBUIÇÕES FUTURAS DO ENTE - BENEFÍCIOS A CONCEDER;;;;;;;;CONTRIBUIÇÕES FUTURAS DOS ATIVOS - BENEFÍCIOS A CONCEDER;;;;;;;;CONTRIB. FUT. APOSENTADOS - BENEF. A CONCEDER;;;;;CONTRIB. FUT. PENSIONISTAS - BENEF. A CONCEDER;;;;;;OUTRAS RECEITAS - BENEF. A CONCEDER;;;;TOTAL;ENCARGOS - BENEFÍCIOS CONCEDIDOS;;;;;;;ENCARGOS - BENEFÍCIOS A CONCEDER;;;;;;;;;;TOTAL;RESULTADOS;;;;
100101;100201;100301;100401;109001;111000;111101;111201;111301;111401;112000;119900;121000;121100;121200;121300;121400;121500;121600;121700;122000;122100;122200;122300;122400;122500;122600;122700;123000;123100;123200;123300;123400;124000;124100;124200;124300;124400;124500;129000;130101;130201;139901;190000;210000;211001;212001;213001;214001;215001;219901;220000;221000;222000;223000;224000;225000;226000;227000;229000;239901;240000;250001;260001;270001;280001;290001
Instante;Ano;Taxa de Juros (%);Fator de Desconto;Base de Cálculo da Contribuição Normal;Benefícios Concedidos - Contribuições dos Aposentados;Benefícios Concedidos - Contribuições Futuras dos Aposentados - Aposentadorias Programadas;Benefícios Concedidos - Contribuições Futuras dos Aposentados - Aposentadorias Especiais de Professores;Benefícios Concedidos - Contribuições Futuras dos Aposentados - Outras Aposentadorias Especiais;Benefícios Concedidos - Contribuições Futuras dos Aposentados - Aposentadorias por Invalidez;Benefícios Concedidos - Contribuições  dos Pensionistas;Benefícios Concedidos - Compensação Previdenciária a Receber;Benefícios a Conceder - Contribuições do Ente;Benefícios a Conceder - Contribuições Futuras do Ente  - Aposentadorias Programadas;Benefícios a Conceder - Contribuições Futuras do Ente  - Aposentadorias Especiais de Professores;Benefícios a Conceder - Contribuições Futuras do Ente  - Outras Aposentadorias Especiais;Benefícios a Conceder - Contribuições Futuras do Ente  - Aposentadorias por Invalidez;Benefícios a Conceder - Contribuições Futuras do Ente  - Pensões Por Morte de Servidores em Atividade;Benefícios a Conceder - Contribuições Futuras do Ente  - Pensões Por Morte de Aposentados;Benefícios a Conceder - Contribuições Futuras do Ente  -  Outros Benefícios e Auxílios;Benefícios a Conceder - Contribuições dos Segurados Ativos;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos - Aposentadorias Programadas;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos - Aposentadorias Especiais de Professores;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos - Outras Aposentadorias Especiais;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos - Aposentadorias por Invalidez;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos  - Pensões Por Morte de Segurados em Atividade;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos - Pensões Por Morte de Aposentados;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos  -  Outros Benefícios e Auxílios;Benefícios a Conceder - Contribuições dos Aposentados;Benefícios a Conceder - Contribuições Futuras dos Aposentados  - Aposentadorias Programadas;Benefícios a Conceder - Contribuições Futuras dos Aposentados  - Aposentadorias Especiais de Professores;Benefícios a Conceder - Contribuições Futuras dos Aposentados  - Outras Aposentadorias Especiais;Benefícios a Conceder - Contribuições Futuras dos Aposentados  - Aposentadorias por Invalidez;Benefícios a Conceder - Contribuições dos Pensionistas;Benefícios a Conceder - Contribuições Futuras dos Pensionistas - Aposentadorias Programadas;Benefícios a Conceder - Contribuições Futuras dos Pensionistas - Aposentadorias Especiais de Professores;Benefícios a Conceder - Contribuições Futuras dos Pensionistas - Outras Aposentadorias Especiais;Benefícios a Conceder - Contribuições Futuras dos Pensionistas - Aposentadorias por Invalidez;Benefícios a Conceder - Contribuições Futuras dos Pensionistas - Pensões Por Morte de Segurados em Atividade;Benefícios a Conceder - Compensação Previdenciária a Receber;Plano de Amortização do Déficit Atuarial estabelecido em lei;Parcelamentos de Débitos Previdenciários;Valor Atual da Cobertura da Insuficiência Financeira (Outras Receitas);(A) TOTAL DAS RECEITAS COM CONTRIBUIÇÕES E COMPENSAÇÃO PREVIDENCIÁRIA;Benefícios Concedidos -  Encargos;Benefícios Concedidos - Encargos - Aposentadorias Programadas;Benefícios Concedidos - Encargos - Aposentadorias Especiais de Professores;Benefícios Concedidos - Encargos - Outras Aposentadorias Especiais;Benefícios Concedidos - Encargos - Aposentadorias por Invalidez;Benefícios Concedidos - Encargos - Pensões Por Morte;Benefícios Concedidos - Encargos - Compensação Previdenciária a Pagar;Benefícios a Conceder - Encargos;Benefícios a Conceder - Encargos -  Aposentadorias Programadas;Benefícios a Conceder - Encargos -  Aposentadorias Especiais de Professores;Benefícios a Conceder - Encargos -  Outras Aposentadorias Especiais;Benefícios a Conceder - Encargos -  Aposentadorias por Invalidez;Benefícios a Conceder - Encargos -  Pensões Por Morte de Servidores em Atividade;Benefícios a Conceder - Encargos -  Pensões Por Morte de Aposentados;Benefícios a Conceder - Encargos -  Outros Benefícios e Auxílios;Benefícios a Conceder - Encargos -  Compensação Previdenciária a Pagar;Outras Despesas;(B) TOTAL  DAS DESPESAS COM BENEFÍCIOS DO PLANO;(C) INSUFICIÊNCIA OU EXCEDENTE FINANCEIRO (A-B);(D) SALDO ACUMULADO DO EXERCÍCIO  A VALOR ATUAL;(E) RENTABILIDADE ESPERADA (%);(F) Rentabilidade dos Ativos que compõem os Recursos Garantidores;(G) EVOLUÇÃO DOS RECURSOS GARANTIDORES (Informar o valor acumulado na data da avaliação)
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5%;;;;;;;;;;;;;;;;;;;;;;;;;;;178.641.337,16
1;2026;5,69;0,94616;59.099.792,7078;342.907,0736;0,00;342.907,0736;0,00;0,00;4.253,2854;727.634,6155;8.273.970,9791;4.697.893,9473;3.576.077,0318;0,00;0,00;0,00;0,00;0,00;8.273.970,9791;4.697.893,9473;3.576.077,0318;0,00;0,00;0,00;0,00;0,00;11,8828;0,00;0,00;0,00;11,8828;2.197,7736;2.197,7736;0,00;0,00;0,00;0,00;55.610,36342;5.105.149,32;6.399.737,202;0,00;29.185.443,47452;16.738.138,17;1.429.329,33;13.123.362,98;0,00;602.557,80;1.582.888,06;0,00;1.112.207,2683;169.986,0509;592.079,615;0,00;106.636,8424;92.094,2818;151.410,4782;0,00;0,00;0,00;17.850.345,4383;11.335.098,03622;189.366.153,51795;5,69;10.809.659,16266;200.786.094,35888
2;2027;5,69;0,89522;59.290.411,2101;339.233,2563;0,00;339.233,2563;0,00;0,00;4.162,7865;716.943,0968;8.300.657,5694;4.712.794,0511;3.587.863,5183;0,00;0,00;0,00;0,00;0,00;8.300.657,5694;4.712.794,0511;3.587.863,5183;0,00;0,00;0,00;0,00;0,00;24,5931;0,00;0,00;0,00;24,5931;4.499,2561;4.499,2561;0,00;0,00;0,00;0,00;80.783,82079;5.231.173,08;6.763.882,2488;0,00;29.742.017,27719;16.498.407,8725;1.385.559,5834;12.953.302,3522;0,00;597.687,3518;1.561.858,5851;0,00;1.615.676,4158;243.319,4446;655.975,4452;0,00;222.632,197;189.564,9114;304.184,4176;0,00;0,00;0,00;18.114.084,2883;11.627.932,98889;211.195.652,52919;5,69;12.086.358,15609;224.500.385,50386
3;2028;5,69;0,84702;57.666.478,2157;335.314,3976;0,00;335.314,3976;0,00;0,00;4.067,4243;705.625,3953;8.073.306,9502;4.650.206,6851;3.423.100,2651;0,00;0,00;0,00;0,00;0,00;8.073.306,9502;4.650.206,6851;3.423.100,2651;0,00;0,00;0,00;0,00;0,00;38,2633;0,00;0,00;0,00;38,2633;6.901,2717;6.901,2717;0,00;0,00;0,00;0,00;189.927,62964;5.359.206,72;7.148.747,1487;0,00;29.896.442,15094;16.244.517,1079;1.340.024,0523;12.772.483,8529;0,00;592.498,6917;1.539.510,511;0,00;3.798.552,5927;825.312,794;1.887.118,3109;0,00;335.826,4624;283.602,5649;466.692,4605;0,00;0,00;0,00;20.043.069,7006;9.853.372,45034;232.846.389,03675;5,69;13.334.728,82759;247.688.486,78179
4;2029;5,69;0,80142;57.278.958,6536;331.135,0223;0,00;331.135,0223;0,00;0,00;3.967,403;693.671,2219;8.019.054,2115;4.635.910,2106;3.383.144,0009;0,00;0,00;0,00;0,00;0,00;8.019.054,2115;4.635.910,2106;3.383.144,0009;0,00;0,00;0,00;0,00;0,00;53,0264;0,00;0,00;0,00;53,0264;9.399,8813;9.399,8813;0,00;0,00;0,00;0,00;238.505,61566;5.489.278,08;7.555.510,8615;0,00;30.359.629,53506;15.976.179,5708;1.293.038,206;12.580.386,2318;0,00;586.970,5909;1.515.784,5421;0,00;4.770.112,3132;1.049.306,0958;2.251.608,6705;0,00;456.642,1369;381.850,3796;630.705,0304;0,00;0,00;0,00;20.746.291,884;9.613.337,65106;255.392.807,8421;5,69;14.640.473,81023;271.942.298,24308
5;2030;5,69;0,75827;54.552.369,8109;326.678,5236;0,00;326.678,5236;0,00;0,00;3.862,4993;681.159,9334;7.637.331,7735;4.581.673,892;3.055.657,8815;0,00;0,00;0,00;0,00;0,00;7.637.331,7735;4.581.673,892;3.055.657,8815;0,00;0,00;0,00;0,00;0,00;69,0342;0,00;0,00;0,00;69,0342;11.990,404;11.990,404;0,00;0,00;0,00;0,00;398.606,30253;5.621.414,76;7.985.419,4295;0,00;30.303.864,43353;15.694.894,2698;1.246.721,1496;12.376.477,5188;0,00;581.075,1446;1.490.620,4568;0,00;7.972.126,0506;1.559.453,308;4.574.237,5012;0,00;560.350,0451;470.242,9351;807.842,2612;0,00;0,00;0,00;23.667.020,3204;6.636.844,11313;276.974.818,02874;5,69;15.851.153,20007;294.430.295,55628
6;2031;5,69;0,71745;53.301.161,9257;321.927,7988;0,00;321.927,7988;0,00;0,00;3.752,199;668.138,901;7.462.162,6696;4.556.780,1004;2.905.382,5692;0,00;0,00;0,00;0,00;0,00;7.462.162,6696;4.556.780,1004;2.905.382,5692;0,00;0,00;0,00;0,00;0,00;86,4577;0,00;0,00;0,00;86,4577;14.667,9687;14.667,9687;0,00;0,00;0,00;0,00;487.440,42092;5.755.645,44;8.439.789,7951;0,00;30.615.774,32042;15.401.525,1067;1.202.559,3583;12.160.218,6623;0,00;574.779,1388;1.463.967,9473;0,00;9.748.808,4184;1.863.436,3426;5.670.998,3626;0,00;665.924,7726;556.759,795;991.689,1456;0,00;0,00;0,00;25.150.333,5251;5.465.440,79532;298.351.476,05488;5,69;17.064.067,39841;316.959.803,75001
7;2032;5,69;0,67882;52.068.311,6595;316.865,2197;0,00;316.865,2197;0,00;0,00;3.636,0279;654.626,5732;7.289.563,6323;4.504.176,9869;2.785.386,6454;0,00;0,00;0,00;0,00;0,00;7.289.563,6323;4.504.176,9869;2.785.386,6454;0,00;0,00;0,00;0,00;0,00;105,4996;0,00;0,00;0,00;105,4996;17.404,5381;17.404,5381;0,00;0,00;0,00;0,00;568.725,76295;5.891.998,44;8.920.013,8344;0,00;30.952.503,16045;15.096.378,3086;1.161.520,0564;11.931.011,4075;0,00;568.044,8211;1.435.802,0236;0,00;11.374.515,2589;2.315.162,2225;6.465.005,3137;0,00;772.275,0151;641.867,8144;1.180.204,8932;0,00;0,00;0,00;26.470.893,5675;4.481.609,59295;320.002.009,9739;5,69;18.290.016,41921;339.731.429,76217
